DATE,SP500,VIX,FNG
2021-05-17,4163.29,19.72,35.6
2021-05-18,4127.83,21.34,34.83
2021-05-19,4115.68,22.18,31.87
2021-05-20,4159.12,20.67,33.37
2021-05-21,4155.86,20.15,29.7
2021-05-24,4197.05,18.4,29.87
2021-05-25,4188.13,18.84,26.6
2021-05-26,4195.99,17.36,28.93
2021-05-27,4200.88,16.74,29.87
2021-05-28,4204.11,16.76,31.93
2021-06-01,4202.04,17.9,35.0
2021-06-02,4208.12,17.48,42.07
2021-06-03,4192.85,18.04,41.6
2021-06-04,4229.89,16.42,42.77
2021-06-07,4226.52,16.42,43.73
2021-06-08,4227.26,17.07,45.9
2021-06-09,4219.55,17.89,46.63
2021-06-10,4239.18,16.1,49.87
2021-06-11,4247.44,15.65,52.5
2021-06-14,4255.15,16.39,54.1
2021-06-15,4246.59,17.02,51.87
2021-06-16,4223.7,18.15,44.7
2021-06-17,4221.86,17.75,42.77
2021-06-18,4166.45,20.7,31.8
2021-06-21,4224.79,17.89,33.43
2021-06-22,4246.44,16.66,32.37
2021-06-23,4241.84,16.32,33.83
2021-06-24,4266.49,15.97,37.23
2021-06-25,4280.7,15.62,41.83
2021-06-28,4290.61,15.76,41.53
2021-06-29,4291.8,16.02,40.03
2021-06-30,4297.5,15.83,37.97
2021-07-01,4319.94,15.48,39.07
2021-07-02,4352.34,15.07,38.6
2021-07-06,4343.54,16.44,33.07
2021-07-07,4358.13,16.2,32.33
2021-07-08,4320.82,19.0,26.87
2021-07-09,4369.55,16.18,31.53
2021-07-12,4384.63,16.17,33.07
2021-07-13,4369.21,17.12,30.33
2021-07-14,4374.3,16.33,29.63
2021-07-15,4360.03,17.01,26.8
2021-07-16,4327.16,18.45,22.63
2021-07-19,4258.49,22.5,13.81
2021-07-20,4323.06,19.73,20.63
2021-07-21,4358.69,17.91,24.47
2021-07-22,4367.48,17.69,25.2
2021-07-23,4411.79,17.2,29.13
2021-07-26,4422.3,17.58,30.7
2021-07-27,4401.46,19.36,27.37
2021-07-28,4400.64,18.31,27.47
2021-07-29,4419.15,17.7,30.43
2021-07-30,4395.26,18.24,26.47
2021-08-02,4387.16,19.46,24.37
2021-08-03,4423.15,18.04,29.8
2021-08-04,4402.66,17.97,27.33
2021-08-05,4429.1,17.28,32.53
2021-08-06,4436.52,16.15,32.53
2021-08-09,4432.35,16.72,32.0
2021-08-10,4436.75,16.79,34.27
2021-08-11,4447.7,16.06,35.6
2021-08-12,4460.83,15.59,38.97
2021-08-13,4468.0,15.45,41.43
2021-08-16,4479.71,16.12,46.77
2021-08-17,4448.08,17.91,36.73
2021-08-18,4400.27,21.57,20.59
2021-08-19,4405.8,21.67,19.11
2021-08-20,4441.67,18.56,24.43
2021-08-23,4479.53,17.15,28.17
2021-08-24,4486.23,17.22,33.97
2021-08-25,4496.19,16.79,38.9
2021-08-26,4470.0,18.84,33.73
2021-08-27,4509.37,16.39,44.77
2021-08-30,4528.79,16.19,47.87
2021-08-31,4522.68,16.48,47.23
2021-09-01,4524.09,16.11,43.13
2021-09-02,4536.95,16.41,44.17
2021-09-03,4535.43,16.41,44.07
2021-09-07,4520.03,18.14,41.7
2021-09-08,4514.07,17.96,38.57
2021-09-09,4493.28,18.8,33.8
2021-09-10,4458.58,20.95,20.6
2021-09-13,4468.73,19.37,28.27
2021-09-14,4443.05,19.46,24.8
2021-09-15,4480.7,18.18,31.2
2021-09-16,4473.75,18.69,31.5
2021-09-17,4432.99,20.81,17.93
2021-09-20,4357.73,25.71,11.1
2021-09-21,4354.19,24.36,11.45
2021-09-22,4395.64,20.87,20.03
2021-09-23,4448.98,18.63,24.5
2021-09-24,4455.48,17.75,23.83
2021-09-27,4443.11,18.76,24.77
2021-09-28,4352.63,23.25,12.47
2021-09-29,4359.46,22.56,12.48
2021-09-30,4307.54,23.14,9.97
2021-10-01,4357.04,21.15,18.33
2021-10-04,4300.46,22.96,9.5
2021-10-05,4345.72,21.3,18.77
2021-10-06,4363.55,21.0,20.07
2021-10-07,4399.76,19.54,24.6
2021-10-08,4391.34,18.77,25.27
2021-10-11,4361.19,20.0,25.9
2021-10-12,4350.65,19.85,22.7
2021-10-13,4363.8,18.64,24.1
2021-10-14,4438.26,16.86,31.83
2021-10-15,4471.37,16.3,43.63
2021-10-18,4486.46,16.31,46.57
2021-10-19,4519.63,15.7,53.4
2021-10-20,4536.19,15.49,56.57
2021-10-21,4549.78,15.01,60.2
2021-10-22,4544.9,15.43,59.5
2021-10-25,4566.48,15.24,62.97
2021-10-26,4574.79,15.98,63.03
2021-10-27,4551.68,16.98,58.33
2021-10-28,4596.42,16.53,64.4
2021-10-29,4605.38,16.26,65.43
2021-11-01,4613.67,16.41,66.13
2021-11-02,4630.65,16.03,68.27
2021-11-03,4660.57,15.1,72.2
2021-11-04,4680.06,15.44,72.43
2021-11-05,4697.53,16.48,73.6
2021-11-08,4701.7,17.22,74.53
2021-11-09,4685.25,17.78,77.17
2021-11-10,4646.71,18.73,73.09
2021-11-11,4649.27,17.66,72.23
2021-11-12,4682.85,16.29,74.0
2021-11-15,4682.8,16.49,71.63
2021-11-16,4700.9,16.37,72.49
2021-11-17,4688.67,17.11,69.2
2021-11-18,4704.54,17.59,70.14
2021-11-19,4697.96,17.91,62.77
2021-11-22,4682.94,19.17,60.0
2021-11-23,4690.7,19.38,60.37
2021-11-24,4701.46,18.58,56.94
2021-11-26,4594.62,28.62,31.26
2021-11-29,4655.27,22.96,38.11
2021-11-30,4567.0,27.19,24.77
2021-12-01,4513.04,31.12,25.36
2021-12-02,4577.1,27.95,22.93
2021-12-03,4538.43,30.67,20.16
2021-12-06,4591.67,27.18,21.26
2021-12-07,4686.75,21.89,37.89
2021-12-08,4701.21,19.9,41.31
2021-12-09,4667.45,21.58,36.86
2021-12-10,4712.02,18.69,42.0
2021-12-13,4668.97,20.31,35.4
2021-12-14,4634.09,21.89,31.54
2021-12-15,4709.85,19.29,37.8
2021-12-16,4668.67,20.57,33.57
2021-12-17,4620.64,21.57,32.51
2021-12-20,4568.02,22.87,29.43
2021-12-21,4649.23,21.01,34.03
2021-12-22,4696.56,18.63,39.54
2021-12-23,4725.79,17.96,50.49
2021-12-27,4791.19,17.68,56.4
2021-12-28,4786.35,17.54,62.97
2021-12-29,4793.06,16.95,64.03
2021-12-30,4778.73,17.33,63.97
2021-12-31,4766.18,17.22,62.54
2022-01-03,4796.56,16.6,65.23
2022-01-04,4793.54,16.91,64.26
2022-01-05,4700.58,19.73,51.03
2022-01-06,4696.05,19.61,52.14
2022-01-07,4677.03,18.76,49.26
2022-01-10,4670.29,19.4,51.14
2022-01-11,4713.07,18.41,56.11
2022-01-12,4726.35,17.62,55.94
2022-01-13,4659.03,20.31,52.17
2022-01-14,4662.85,19.19,55.8
2022-01-18,4577.11,22.79,53.71
2022-01-19,4532.76,23.85,44.83
2022-01-20,4482.73,25.59,39.14
2022-01-21,4397.94,28.85,26.73
2022-01-24,4410.13,29.9,23.13
2022-01-25,4356.45,31.16,20.89
2022-01-26,4349.93,31.96,19.51
2022-01-27,4326.51,30.49,18.6
2022-01-28,4431.85,27.66,23.86
2022-01-31,4515.55,24.83,29.2
2022-02-01,4546.54,21.96,30.8
2022-02-02,4589.38,22.09,28.8
2022-02-03,4477.44,24.35,26.06
2022-02-04,4500.53,23.22,27.6
2022-02-07,4483.87,22.86,27.91
2022-02-08,4521.54,21.44,28.94
2022-02-09,4587.18,19.96,32.66
2022-02-10,4504.08,23.91,33.6
2022-02-11,4418.64,27.36,28.49
2022-02-14,4401.67,28.33,25.69
2022-02-15,4471.07,25.7,29.97
2022-02-16,4475.01,24.29,32.09
2022-02-17,4380.26,28.11,32.46
2022-02-18,4348.87,27.75,29.51
2022-02-22,4304.76,28.81,28.77
2022-02-23,4225.5,31.02,18.81
2022-02-24,4288.7,30.32,21.23
2022-02-25,4384.65,27.59,28.14
2022-02-28,4373.94,30.15,25.47
2022-03-01,4306.26,33.32,22.97
2022-03-02,4386.54,30.74,17.83
2022-03-03,4363.49,30.48,21.73
2022-03-04,4328.87,31.98,18.17
2022-03-07,4201.09,36.45,16.9
2022-03-08,4170.7,35.13,16.67
2022-03-09,4277.88,32.45,18.03
2022-03-10,4259.52,30.23,17.96
2022-03-11,4204.31,30.75,19.06
2022-03-14,4173.11,31.77,17.5
2022-03-15,4262.45,29.83,21.86
2022-03-16,4357.86,26.67,25.26
2022-03-17,4411.67,25.67,33.63
2022-03-18,4463.12,23.87,38.43
2022-03-21,4461.18,23.53,40.97
2022-03-22,4511.61,22.94,44.54
2022-03-23,4456.24,23.57,45.2
2022-03-24,4520.16,21.67,46.91
2022-03-25,4543.06,20.81,49.37
2022-03-28,4575.52,19.63,51.26
2022-03-29,4631.6,18.9,52.71
2022-03-30,4602.45,19.33,52.8
2022-03-31,4530.41,20.56,59.2
2022-04-01,4545.86,19.63,59.8
2022-04-04,4582.64,18.57,61.66
2022-04-05,4525.12,21.03,47.91
2022-04-06,4481.15,22.1,46.4
2022-04-07,4500.21,21.55,46.83
2022-04-08,4488.28,21.16,46.09
2022-04-11,4412.53,24.37,43.4
2022-04-12,4397.45,24.26,42.06
2022-04-13,4446.59,21.82,41.8
2022-04-14,4392.59,22.7,39.86
2022-04-18,4391.69,22.17,37.6
2022-04-19,4462.21,21.37,39.63
2022-04-20,4459.45,20.32,43.31
2022-04-21,4393.66,22.68,38.94
2022-04-22,4271.78,28.21,31.63
2022-04-25,4296.12,27.02,29.97
2022-04-26,4175.2,33.52,17.9
2022-04-27,4183.96,31.6,16.27
2022-04-28,4287.5,29.99,24.26
2022-04-29,4131.93,33.4,14.33
2022-05-02,4155.38,32.34,13.27
2022-05-03,4175.48,29.25,30.49
2022-05-04,4300.17,25.42,22.4
2022-05-05,4146.87,31.2,13.13
2022-05-06,4123.34,30.19,12.24
2022-05-09,3991.24,34.75,8.19
2022-05-10,4001.05,32.99,7.4
2022-05-11,3935.18,32.56,4.03
2022-05-12,3930.08,31.77,3.2
2022-05-13,4023.89,28.87,11.29
2022-05-16,4008.01,27.47,11.74
2022-05-17,4088.85,26.1,15.2
2022-05-18,3923.68,30.96,6.6
2022-05-19,3900.79,29.35,13.71
2022-05-20,3901.36,29.43,12.66
2022-05-23,3973.75,28.48,17.89
2022-05-24,3941.48,29.45,16.0
2022-05-25,3978.73,28.37,17.57
2022-05-26,4057.84,27.5,24.11
2022-05-27,4158.24,25.72,29.54
2022-05-31,4132.15,26.19,40.06
2022-06-01,4101.23,25.69,40.6
2022-06-02,4176.82,24.72,44.83
2022-06-03,4108.54,24.79,35.46
2022-06-06,4121.43,25.07,42.8
2022-06-07,4160.68,24.02,45.63
2022-06-08,4115.77,23.96,48.11
2022-06-09,4017.82,26.09,47.06
2022-06-10,3900.86,27.75,40.0
2022-06-13,3749.63,34.02,25.09
2022-06-14,3735.48,32.69,20.53
2022-06-15,3789.99,29.62,29.26
2022-06-16,3666.77,32.95,17.7
2022-06-17,3674.84,31.13,16.93
2022-06-21,3764.79,30.19,19.73
2022-06-22,3759.89,28.95,26.89
2022-06-23,3795.73,29.05,26.74
2022-06-24,3911.74,27.23,30.86
2022-06-27,3900.11,26.95,30.77
2022-06-28,3821.55,28.36,28.14
2022-06-29,3818.83,28.16,26.54
2022-06-30,3785.38,28.71,24.37
2022-07-01,3825.33,26.7,24.57
2022-07-05,3831.39,27.54,22.17
2022-07-06,3845.08,26.73,22.83
2022-07-07,3902.62,26.08,27.6
2022-07-08,3899.38,24.64,31.34
2022-07-11,3854.43,26.17,30.37
2022-07-12,3818.8,27.29,30.31
2022-07-13,3801.78,26.82,27.29
2022-07-14,3790.38,26.4,26.51
2022-07-15,3863.16,24.23,33.29
2022-07-18,3830.85,25.3,35.89
2022-07-19,3936.69,24.5,39.31
2022-07-20,3959.9,23.88,44.09
2022-07-21,3998.95,23.11,48.2
2022-07-22,3961.63,23.03,42.43
2022-07-25,3966.84,23.36,42.2
2022-07-26,3921.05,24.69,42.0
2022-07-27,4023.61,23.24,46.63
2022-07-28,4072.43,22.33,48.49
2022-07-29,4130.29,21.33,52.4
2022-08-01,4118.63,22.84,59.09
2022-08-02,4091.19,23.93,57.37
2022-08-03,4155.17,21.95,60.26
2022-08-04,4151.94,21.44,61.51
2022-08-05,4145.19,21.15,63.31
2022-08-08,4140.06,21.29,64.74
2022-08-09,4122.47,21.77,64.46
2022-08-10,4210.24,19.74,65.11
2022-08-11,4207.27,20.2,65.83
2022-08-12,4280.15,19.53,68.03
2022-08-15,4297.14,19.95,66.83
2022-08-16,4305.2,19.69,67.94
2022-08-17,4274.04,19.9,67.14
2022-08-18,4283.74,19.56,66.37
2022-08-19,4228.48,20.6,63.71
2022-08-22,4137.99,23.8,60.31
2022-08-23,4128.73,24.11,57.43
2022-08-24,4140.77,22.82,57.51
2022-08-25,4199.12,21.78,58.26
2022-08-26,4057.66,25.56,55.74
2022-08-29,4030.61,26.21,54.29
2022-08-30,3986.16,26.21,49.8
2022-08-31,3955.0,25.87,52.09
2022-09-01,3966.85,25.56,49.37
2022-09-02,3924.26,25.47,42.46
2022-09-06,3908.19,26.91,40.63
2022-09-07,3979.87,24.64,39.63
2022-09-08,4006.18,23.61,40.37
2022-09-09,4067.36,22.79,43.8
2022-09-12,4110.41,23.87,47.6
2022-09-13,3932.69,27.27,36.63
2022-09-14,3946.01,26.16,41.89
2022-09-15,3901.35,26.27,40.66
2022-09-16,3873.33,26.3,35.29
2022-09-19,3899.89,25.76,36.31
2022-09-20,3855.93,27.16,36.11
2022-09-21,3789.93,27.99,27.21
2022-09-22,3757.99,27.35,24.49
2022-09-23,3693.23,29.92,21.69
2022-09-26,3655.04,32.26,17.63
2022-09-27,3647.29,32.6,16.51
2022-09-28,3719.04,30.18,17.03
2022-09-29,3640.47,31.84,13.26
2022-09-30,3585.62,31.62,16.46
2022-10-03,3678.43,30.1,20.39
2022-10-04,3790.93,29.07,27.89
2022-10-05,3783.28,28.55,29.71
2022-10-06,3744.52,30.52,23.14
2022-10-07,3639.66,31.36,19.67
2022-10-10,3612.39,32.45,19.4
2022-10-11,3588.84,33.63,16.89
2022-10-12,3577.03,33.57,15.94
2022-10-13,3669.91,31.94,19.37
2022-10-14,3583.07,32.02,16.46
2022-10-17,3677.95,31.37,23.4
2022-10-18,3719.98,30.5,28.8
2022-10-19,3695.16,30.76,29.43
2022-10-20,3665.78,29.98,39.09
2022-10-21,3752.75,29.69,43.74
2022-10-24,3797.34,29.85,47.23
2022-10-25,3859.11,28.46,51.37
2022-10-26,3830.6,27.28,53.8
2022-10-27,3807.3,27.39,54.57
2022-10-28,3901.06,25.75,57.11
2022-10-31,3871.98,25.88,64.06
2022-11-01,3856.1,25.81,63.51
2022-11-02,3759.69,25.86,55.29
2022-11-03,3719.89,25.3,55.51
2022-11-04,3770.55,24.55,56.51
2022-11-07,3806.8,24.35,59.66
2022-11-08,3828.11,25.54,57.94
