DATE,Open,Close,Adj Close
2015-01-02,206.38,205.43,172.59
2015-01-05,204.17,201.72,169.48
2015-01-06,202.09,199.82,167.88
2015-01-07,201.42,202.31,169.97
2015-01-08,204.01,205.9,172.99
2015-01-09,206.4,204.25,171.6
2015-01-12,204.41,202.65,170.26
2015-01-13,204.12,202.08,169.78
2015-01-14,199.65,200.86,168.75
2015-01-15,201.63,199.02,167.21
2015-01-16,198.77,201.63,169.4
2015-01-20,202.4,202.06,169.76
2015-01-21,201.5,203.08,170.62
2015-01-22,203.99,206.1,173.16
2015-01-23,205.79,204.97,172.21
2015-01-26,204.71,205.45,172.61
2015-01-27,202.97,202.74,170.33
2015-01-28,204.17,200.14,168.15
2015-01-29,200.38,201.99,169.7
2015-01-30,200.57,199.45,167.57
2015-02-02,200.05,201.92,169.64
2015-02-03,203.0,204.84,172.1
2015-02-04,203.92,204.06,171.44
2015-02-05,204.86,206.12,173.17
2015-02-06,206.56,205.55,172.69
2015-02-09,204.77,204.63,171.92
2015-02-10,205.88,206.81,173.75
2015-02-11,206.61,206.93,173.85
2015-02-12,207.89,208.92,175.53
2015-02-13,209.07,209.78,176.25
2015-02-17,209.4,210.11,176.52
2015-02-18,209.66,210.13,176.54
2015-02-19,209.41,209.98,176.42
2015-02-20,209.48,211.24,177.47
2015-02-23,210.94,211.21,177.45
2015-02-24,211.12,211.81,177.95
2015-02-25,211.66,211.63,177.8
2015-02-26,211.52,211.38,177.59
2015-02-27,211.26,210.66,176.99
2015-03-02,210.78,211.99,178.1
2015-03-03,211.47,211.12,177.37
2015-03-04,210.4,210.23,176.63
2015-03-05,210.62,210.46,176.82
2015-03-06,209.42,207.5,174.33
2015-03-09,207.74,208.36,175.05
2015-03-10,206.71,204.98,172.21
2015-03-11,205.29,204.5,171.81
2015-03-12,205.26,207.1,174.0
2015-03-13,206.77,205.83,172.93
2015-03-16,206.71,208.58,175.24
2015-03-17,207.69,207.96,174.72
2015-03-18,207.39,210.46,176.82
2015-03-19,209.96,209.5,176.01
2015-03-20,209.71,210.41,177.57
2015-03-23,210.42,210.0,177.22
2015-03-24,209.85,208.82,176.22
2015-03-25,209.07,205.76,173.64
2015-03-26,204.96,205.27,173.23
2015-03-27,205.13,205.74,173.62
2015-03-30,206.98,208.25,175.74
2015-03-31,207.26,206.43,174.21
2015-04-01,206.39,205.7,173.59
2015-04-02,205.62,206.44,174.22
2015-04-06,205.37,207.83,175.39
2015-04-07,207.86,207.28,174.92
2015-04-08,207.55,207.98,175.52
2015-04-09,207.78,208.9,176.29
2015-04-10,209.2,210.04,177.25
2015-04-13,209.87,209.09,176.45
2015-04-14,208.85,209.49,176.79
2015-04-15,210.05,210.43,177.58
2015-04-16,210.03,210.37,177.53
2015-04-17,208.94,207.95,175.49
2015-04-20,209.06,209.85,177.09
2015-04-21,210.67,209.6,176.88
2015-04-22,210.01,210.63,177.75
2015-04-23,210.15,211.16,178.2
2015-04-24,211.66,211.65,178.61
2015-04-27,212.33,210.77,177.87
2015-04-28,210.74,211.44,178.44
2015-04-29,210.37,210.57,177.7
2015-04-30,209.88,208.46,175.92
2015-05-01,209.4,210.72,177.83
2015-05-04,211.23,211.32,178.33
2015-05-05,211.03,208.9,176.29
2015-05-06,209.56,208.04,175.57
2015-05-07,207.92,208.87,176.27
2015-05-08,210.88,211.62,178.59
2015-05-11,211.57,210.61,177.73
2015-05-12,209.61,209.98,177.2
2015-05-13,210.47,210.02,177.24
2015-05-14,211.24,212.21,179.08
2015-05-15,212.44,212.44,179.28
2015-05-18,212.24,213.1,179.84
2015-05-19,213.24,213.03,179.78
2015-05-20,213.15,212.88,179.65
2015-05-21,212.71,213.5,180.17
2015-05-22,213.04,212.99,179.74
2015-05-26,212.4,210.7,177.81
2015-05-27,211.25,212.7,179.5
2015-05-28,212.33,212.46,179.3
2015-05-29,212.38,211.14,178.18
2015-06-01,211.94,211.57,178.54
2015-06-02,211.02,211.36,178.37
2015-06-03,212.0,211.92,178.84
2015-06-04,211.07,210.13,177.33
2015-06-05,209.95,209.77,177.03
2015-06-08,209.64,208.48,175.94
2015-06-09,208.45,208.45,175.91
2015-06-10,209.37,210.95,178.02
