DATE,SP500,VIX,FNG,RSI,BB_Upper_Distance,BB_Lower_Distance,VIX_lag1,FNG_lag1,VIX_lag3,FNG_lag3,VIX_lag5,FNG_lag5,VIX_MA3,FNG_MA3,S&P_1day_up,S&P_3day_up,S&P_5day_up
2021-06-14,4255.15,16.39,54.1,72.52,0.0038,0.0317,15.65,52.5,17.89,46.63,16.42,43.73,16.05,52.16,0,0,0
2021-06-15,4246.59,17.02,51.87,67.74,0.007,0.0289,16.39,54.1,16.1,49.87,17.07,45.9,16.35,52.82,0,0,0
2021-06-16,4223.7,18.15,44.7,56.93,0.0117,0.0203,17.02,51.87,15.65,52.5,17.89,46.63,17.19,50.22,0,1,1
2021-06-17,4221.86,17.75,42.77,56.16,0.01,0.015,18.15,44.7,16.39,54.1,16.1,49.87,17.64,46.45,0,1,1
2021-06-18,4166.45,20.7,31.8,38.95,0.0228,0.0012,17.75,42.77,17.02,51.87,15.65,52.5,18.87,39.76,1,1,1
2021-06-21,4224.79,17.89,33.43,54.69,0.0083,0.0127,20.7,31.8,18.15,44.7,16.39,54.1,18.78,36.0,1,1,1
2021-06-22,4246.44,16.66,32.37,58.92,0.004,0.0176,17.89,33.43,17.75,42.77,17.02,51.87,18.42,32.53,0,1,1
2021-06-23,4241.84,16.32,33.83,57.69,0.0055,0.0155,16.66,32.37,20.7,31.8,18.15,44.7,16.96,33.21,1,1,1
2021-06-24,4266.49,15.97,37.23,62.25,0.0011,0.0212,16.32,33.83,17.89,33.43,17.75,42.77,16.32,34.48,1,1,1
2021-06-25,4280.7,15.62,41.83,64.62,-0.0002,0.0248,15.97,37.23,16.66,32.37,20.7,31.8,15.97,37.63,1,1,1
2021-06-28,4290.61,15.76,41.53,66.21,-0.0002,0.0274,15.62,41.83,16.32,33.83,17.89,33.43,15.78,40.2,1,1,1
2021-06-29,4291.8,16.02,40.03,66.4,0.0014,0.0275,15.76,41.53,15.97,37.23,16.66,32.37,15.8,41.13,1,1,1
2021-06-30,4297.5,15.83,37.97,67.38,0.002,0.0287,16.02,40.03,15.62,41.83,16.32,33.83,15.87,39.84,1,1,1
2021-07-01,4319.94,15.48,39.07,70.94,-0.0008,0.0335,15.83,37.97,15.76,41.53,15.97,37.23,15.78,39.02,1,1,1
2021-07-02,4352.34,15.07,38.6,75.17,-0.0038,0.043,15.48,39.07,16.02,40.03,15.62,41.83,15.46,38.55,0,0,1
2021-07-06,4343.54,16.44,33.07,72.1,0.0013,0.0414,15.07,38.6,15.83,37.97,15.76,41.53,15.66,36.91,1,1,1
2021-07-07,4358.13,16.2,32.33,74.0,0.0014,0.0453,16.44,33.07,15.48,39.07,16.02,40.03,15.9,34.67,0,1,1
2021-07-08,4320.82,19.0,26.87,62.34,0.0111,0.0351,16.2,32.33,15.07,38.6,15.83,37.97,17.21,30.76,1,1,1
2021-07-09,4369.55,16.18,31.53,69.17,0.0032,0.047,19.0,26.87,16.44,33.07,15.48,39.07,17.13,30.24,1,1,0
2021-07-12,4384.63,16.17,33.07,70.93,0.0032,0.0511,16.18,31.53,16.2,32.33,15.07,38.6,17.12,30.49,0,0,0
2021-07-13,4369.21,17.12,30.33,66.74,0.0091,0.0472,16.17,33.07,19.0,26.87,16.44,33.07,16.49,31.64,1,0,0
2021-07-14,4374.3,16.33,29.63,67.42,0.0102,0.0477,17.12,30.33,16.18,31.53,16.2,32.33,16.54,31.01,0,0,0
