DATE,SP500,VIX,FNG,SP500_Change,SP500_Change_lag1,SP500_Change_lag2,SP500_Change_lag3,SP500_Change_lag4,SP500_Change_lag5,SP500_Change_lag6,SP500_Change_lag7,SP500_Change_lag8,SP500_Change_lag9,S&P_1day_up,S&P_3day_up,S&P_5day_up,S&P_14day_up,S&P_28day_up,VIX_Change,FNG_Change,SP500_Change_Percentage,SP500_Change_1day,SP500_Change_3day,SP500_Change_5day,SP500_Change_14day,SP500_Change_28day
2015-01-12,2028.26,19.6,30.0,-16.55,-17.33,36.24,23.29,-17.97,-37.62,-0.7,-21.45,-10.22,1.8,0,0,0,0,1,2.05,1.0,-0.809,-0.256,-1.741,-0.279,-0.362,3.981
2015-01-13,2023.03,20.56,29.0,-5.23,-16.55,-17.33,36.24,23.29,-17.97,-37.62,-0.7,-21.45,-10.22,0,0,1,1,1,0.96,-1.0,-0.258,-0.58,-0.178,0.448,1.331,4.558
2015-01-14,2011.27,21.48,30.0,-11.76,-5.23,-16.55,-17.33,36.24,23.29,-17.97,-37.62,-0.7,-21.45,0,1,1,1,1,0.92,1.0,-0.581,-0.919,0.558,2.564,1.495,5.071
2015-01-15,1992.67,22.39,30.0,-18.6,-11.76,-5.23,-16.55,-17.33,36.24,23.29,-17.97,-37.62,-0.7,1,1,1,1,1,0.91,0.0,-0.925,1.33,1.961,2.941,3.473,5.87
2015-01-16,2019.42,20.95,26.0,26.75,-18.6,-11.76,-5.23,-16.55,-17.33,36.24,23.29,-17.97,-37.62,1,1,1,1,1,-1.44,-4.0,1.342,0.157,2.195,1.89,1.809,4.27
2015-01-20,2022.55,19.89,25.0,3.13,26.75,-18.6,-11.76,-5.23,-16.55,-17.33,36.24,23.29,-17.97,1,1,1,1,1,-1.06,-1.0,0.155,0.474,1.449,0.347,1.198,4.696
2015-01-21,2032.12,18.85,28.0,9.57,3.13,26.75,-18.6,-11.76,-5.23,-16.55,-17.33,36.24,23.29,1,1,0,1,1,-1.04,3.0,0.473,1.534,1.235,-1.481,1.803,3.741
2015-01-22,2063.15,16.4,32.0,31.03,9.57,3.13,26.75,-18.6,-11.76,-5.23,-16.55,-17.33,36.24,0,0,0,1,1,-2.45,4.0,1.527,-0.558,-1.653,-2.062,0.265,1.741
2015-01-23,2051.82,16.66,31.0,-11.33,31.03,9.57,3.13,26.75,-18.6,-11.76,-5.23,-16.55,-17.33,1,0,0,1,1,0.26,-1.0,-0.549,0.255,-2.407,-2.755,1.777,2.386
2015-01-26,2057.09,15.52,28.0,5.27,-11.33,31.03,9.57,3.13,26.75,-18.6,-11.76,-5.23,-16.55,0,0,0,1,1,-1.14,-3.0,0.257,-1.342,-1.747,-1.766,1.945,0.691
2015-01-27,2029.55,17.22,28.0,-27.54,5.27,-11.33,31.03,9.57,3.13,26.75,-18.6,-11.76,-5.23,0,0,1,1,1,1.7,0.0,-1.339,-1.331,-1.68,0.996,3.441,2.425
2015-01-28,2002.16,20.44,26.0,-27.39,-27.54,5.27,-11.33,31.03,9.57,3.13,26.75,-18.6,-11.76,1,1,1,1,1,3.22,-2.0,-1.35,0.941,0.921,1.939,4.805,2.069
2015-01-29,2021.25,18.76,26.0,19.09,-27.39,-27.54,5.27,-11.33,31.03,9.57,3.13,26.75,-18.6,0,1,1,1,1,-1.68,0.0,0.953,-1.312,1.437,2.061,3.806,0.948
2015-01-30,1994.99,20.97,25.0,-26.26,19.09,-27.39,-27.54,5.27,-11.33,31.03,9.57,3.13,26.75,1,1,1,1,1,2.21,-1.0,-1.299,1.279,2.302,2.992,5.705,3.511
2015-02-02,2020.85,19.43,30.0,25.86,-26.26,19.09,-27.39,-27.54,5.27,-11.33,31.03,9.57,3.13,1,1,1,1,1,-1.54,5.0,1.296,1.463,2.089,1.298,4.452,1.632
2015-02-03,2050.03,17.33,46.0,29.18,25.86,-26.26,19.09,-27.39,-27.54,5.27,-11.33,31.03,9.57,0,1,1,1,1,-2.1,16.0,1.444,-0.422,0.269,0.918,3.239,1.542
2015-02-04,2041.51,18.33,42.0,-8.52,29.18,25.86,-26.26,19.09,-27.39,-27.54,5.27,-11.33,31.03,1,1,1,1,1,1.0,-4.0,-0.416,1.025,0.255,1.318,3.529,1.599
2015-02-05,2062.52,16.85,50.0,21.01,-8.52,29.18,25.86,-26.26,19.09,-27.39,-27.54,5.27,-11.33,0,1,1,1,1,-1.48,8.0,1.029,-0.345,0.297,1.272,2.362,1.811
2015-02-06,2055.47,17.29,52.0,-7.05,21.01,-8.52,29.18,25.86,-26.26,19.09,-27.39,-27.54,5.27,0,1,1,1,1,0.44,2.0,-0.342,-0.423,0.633,2.013,2.377,1.639
2015-02-09,2046.74,18.55,52.0,-8.73,-7.05,21.01,-8.52,29.18,25.86,-26.26,19.09,-27.39,-27.54,1,1,1,1,1,1.26,0.0,-0.425,1.063,2.031,2.608,3.437,2.985
2015-02-10,2068.59,17.23,54.0,21.85,-8.73,-7.05,21.01,-8.52,29.18,25.86,-26.26,19.09,-27.39,0,1,1,1,1,-1.32,2.0,1.068,-0.003,1.388,1.519,1.915,1.751
2015-02-11,2068.53,16.96,61.0,-0.06,21.85,-8.73,-7.05,21.01,-8.52,29.18,25.86,-26.26,19.09,1,1,1,1,1,-0.27,7.0,-0.003,0.964,1.538,1.398,1.45,1.11
2015-02-12,2088.48,15.34,64.0,19.95,-0.06,21.85,-8.73,-7.05,21.01,-8.52,29.18,25.86,-26.26,1,1,1,1,0,-1.62,3.0,0.964,0.411,0.541,1.055,0.607,-1.326
2015-02-13,2096.99,14.69,73.0,8.51,19.95,-0.06,21.85,-8.73,-7.05,21.01,-8.52,29.18,25.86,1,1,1,0,0,-0.65,9.0,0.407,0.16,0.022,0.607,-1.232,-1.955
2015-02-17,2100.34,15.8,77.0,3.35,8.51,19.95,-0.06,21.85,-8.73,-7.05,21.01,-8.52,29.18,0,1,1,0,0,1.11,4.0,0.16,-0.031,0.475,0.722,-0.997,-1.875
2015-02-18,2099.68,15.45,79.0,-0.66,3.35,8.51,19.95,-0.06,21.85,-8.73,-7.05,21.01,-8.52,0,1,1,0,0,-0.35,2.0,-0.031,-0.106,0.475,0.675,-2.643,-0.64
2015-02-19,2097.45,15.29,77.0,-2.23,-0.66,3.35,8.51,19.95,-0.06,21.85,-8.73,-7.05,21.01,1,1,1,0,0,-0.16,-2.0,-0.106,0.612,0.859,0.633,-2.725,-1.408
2015-02-20,2110.3,14.3,80.0,12.85,-2.23,-0.66,3.35,8.51,19.95,-0.06,21.85,-8.73,-7.05,0,1,0,0,0,-0.99,3.0,0.613,-0.031,0.17,-0.277,-2.114,-2.413
2015-02-23,2109.66,14.56,77.0,-0.64,12.85,-2.23,-0.66,3.35,8.51,19.95,-0.06,21.85,-8.73,1,1,1,0,0,0.26,-3.0,-0.03,0.276,0.051,0.366,-2.666,-2.023
2015-02-24,2115.48,13.69,75.0,5.82,-0.64,12.85,-2.23,-0.66,3.35,8.51,19.95,-0.06,21.85,0,0,0,0,0,-0.87,-2.0,0.276,-0.077,-0.52,-0.365,-1.625,-1.652
2015-02-25,2113.86,13.84,77.0,-1.62,5.82,-0.64,12.85,-2.23,-0.66,3.35,8.51,19.95,-0.06,0,1,0,0,0,0.15,2.0,-0.077,-0.147,0.167,-0.725,-1.871,-1.774
2015-02-26,2110.74,13.91,78.0,-3.12,-1.62,5.82,-0.64,12.85,-2.23,-0.66,3.35,8.51,19.95,0,0,0,0,0,0.07,1.0,-0.148,-0.295,-0.14,-0.459,-0.532,-1.364
2015-02-27,2104.5,13.34,74.0,-6.24,-3.12,-1.62,5.82,-0.64,12.85,-2.23,-0.66,3.35,8.51,1,0,0,0,0,-0.57,-4.0,-0.296,0.611,-0.283,-1.575,-0.722,-0.631
2015-03-02,2117.39,13.04,74.0,12.89,-6.24,-3.12,-1.62,5.82,-0.64,12.85,-2.23,-0.66,3.35,0,0,0,0,0,-0.3,0.0,0.612,-0.457,-0.777,-1.804,-0.441,-0.728
2015-03-03,2107.78,13.86,66.0,-9.61,12.89,-6.24,-3.12,-1.62,5.82,-0.64,12.85,-2.23,-0.66,0,0,0,0,0,0.82,-8.0,-0.454,-0.437,-1.725,-3.005,-0.159,-0.725
2015-03-04,2098.53,14.23,66.0,-9.25,-9.61,12.89,-6.24,-3.12,-1.62,5.82,-0.64,12.85,-2.23,1,0,0,0,0,0.37,0.0,-0.439,0.119,-0.906,-2.765,-0.334,-0.128
2015-03-05,2101.04,14.04,65.0,2.51,-9.25,-9.61,12.89,-6.24,-3.12,-1.62,5.82,-0.64,12.85,0,0,0,0,1,-0.19,-1.0,0.12,-1.419,-2.71,-1.672,-1.906,0.266
2015-03-06,2071.26,15.2,58.0,-29.78,2.51,-9.25,-9.61,12.89,-6.24,-3.12,-1.62,5.82,-0.64,1,0,0,0,1,1.16,-7.0,-1.417,0.389,-1.476,-0.85,-0.719,1.605
2015-03-09,2079.43,15.06,58.0,8.17,-29.78,2.51,-9.25,-9.61,12.89,-6.24,-3.12,-1.62,5.82,0,0,1,0,1,-0.14,0.0,0.394,-1.703,-0.651,0.085,-0.889,0.084
2015-03-10,2044.16,16.69,52.0,-35.27,8.17,-29.78,2.51,-9.25,-9.61,12.89,-6.24,-3.12,-1.62,0,1,1,1,1,1.63,-6.0,-1.696,-0.189,0.444,1.448,2.024,2.705
2015-03-11,2040.24,16.87,44.0,-3.92,-35.27,8.17,-29.78,2.51,-9.25,-9.61,12.89,-6.24,-3.12,1,1,1,1,1,0.18,-8.0,-0.192,1.258,2.003,2.899,1.353,2.791
2015-03-12,2065.95,15.42,46.0,25.71,-3.92,-35.27,8.17,-29.78,2.51,-9.25,-9.61,12.89,-6.24,0,1,1,0,1,-1.45,2.0,1.26,-0.615,0.408,1.143,-0.307,2.059
2015-03-13,2053.4,16.0,39.0,-12.55,25.71,-3.92,-35.27,8.17,-29.78,2.51,-9.25,-9.61,12.89,1,1,1,1,1,0.58,-7.0,-0.607,1.345,2.231,2.648,0.656,2.881
2015-03-16,2081.19,15.61,42.0,27.79,-12.55,25.71,-3.92,-35.27,8.17,-29.78,2.51,-9.25,-9.61,0,1,1,0,1,-0.39,3.0,1.353,-0.337,0.393,1.131,-0.028,1.778
2015-03-17,2074.28,15.66,40.0,-6.91,27.79,-12.55,25.71,-3.92,-35.27,8.17,-29.78,2.51,-9.25,1,1,1,1,1,0.05,-2.0,-0.332,1.212,1.625,0.827,0.099,1.664
2015-03-18,2099.5,13.97,39.0,25.22,-6.91,27.79,-12.55,25.71,-3.92,-35.27,8.17,-29.78,2.51,0,1,0,0,1,-1.69,-1.0,1.216,-0.493,0.237,-1.854,-0.848,0.736
2015-03-19,2089.27,14.07,43.0,-10.23,25.22,-6.91,27.79,-12.55,25.71,-3.92,-35.27,8.17,-29.78,1,1,0,1,1,0.1,4.0,-0.487,0.897,0.106,-1.578,0.091,0.837
2015-03-20,2108.1,13.02,43.0,18.83,-10.23,25.22,-6.91,27.79,-12.55,25.71,-3.92,-35.27,8.17,0,0,0,0,0,-1.05,0.0,0.901,-0.176,-2.252,-2.253,-0.289,-1.081
2015-03-23,2104.42,13.41,48.0,-3.68,18.83,-10.23,25.22,-6.91,27.79,-12.55,25.71,-3.92,-35.27,0,0,0,0,1,0.39,5.0,-0.175,-0.613,-2.29,-0.862,-0.569,0.184
2015-03-24,2091.5,13.62,44.0,-12.92,-3.68,18.83,-10.23,25.22,-6.91,27.79,-12.55,25.71,-3.92,0,0,0,1,1,0.21,-4.0,-0.614,-1.447,-1.448,-1.122,0.206,1.092
2015-03-25,2061.05,15.44,44.0,-30.45,-12.92,-3.68,18.83,-10.23,25.22,-6.91,27.79,-12.55,25.71,0,1,0,1,1,1.82,0.0,-1.456,-0.234,1.204,-0.065,2.179,1.358
2015-03-26,2056.15,15.8,37.0,-4.9,-30.45,-12.92,-3.68,18.83,-10.23,25.22,-6.91,27.79,-12.55,1,1,1,1,1,0.36,-7.0,-0.238,0.236,0.57,0.524,2.37,1.164
2015-03-27,2061.02,15.07,36.0,4.87,-4.9,-30.45,-12.92,-3.68,18.83,-10.23,25.22,-6.91,27.79,1,0,1,1,1,-0.73,-1.0,0.237,1.227,-0.065,0.953,0.98,1.312
