DATE,SP500,VIX,FNG,SP500_Change,SP500_Change_lag1,SP500_Change_lag2,SP500_Change_lag3,SP500_Change_lag4,SP500_Change_lag5,SP500_Change_lag6,SP500_Change_lag7,SP500_Change_lag8,SP500_Change_lag9,S&P_1day_up,S&P_3day_up,S&P_5day_up,S&P_14day_up,S&P_28day_up,VIX_Change,FNG_Change,RSI,BB_Upper,BB_Lower,SP500_Change_Percentage,S&P_22day_up,SP500_Change_1day,SP500_Change_3day,SP500_Change_5day,SP500_Change_14day,SP500_Change_22day,SP500_Change_28day
2015-02-06,2055.47,17.29,52.0,-7.05,21.01,-8.52,29.18,25.86,-26.26,19.09,-27.39,-27.54,5.27,0,1,1,1,1,0.44,2.0,55.35,2073.34,1989.11,-0.342,0,-0.423,0.633,2.013,2.377,-0.738,1.639
2015-02-09,2046.74,18.55,52.0,-8.73,-7.05,21.01,-8.52,29.18,25.86,-26.26,19.09,-27.39,-27.54,1,1,1,1,1,1.26,0.0,52.75,2073.57,1989.08,-0.425,1,1.063,2.031,2.608,3.437,0.935,2.985
2015-02-10,2068.59,17.23,54.0,21.85,-8.73,-7.05,21.01,-8.52,29.18,25.86,-26.26,19.09,-27.39,0,1,1,1,1,-1.32,2.0,58.06,2078.55,1988.13,1.068,0,-0.003,1.388,1.519,1.915,-0.742,1.751
2015-02-11,2068.53,16.96,61.0,-0.06,21.85,-8.73,-7.05,21.01,-8.52,29.18,25.86,-26.26,19.09,1,1,1,1,1,-0.27,7.0,58.04,2083.05,1988.18,-0.003,1,0.964,1.538,1.398,1.45,0.612,1.11
2015-02-12,2088.48,15.34,64.0,19.95,-0.06,21.85,-8.73,-7.05,21.01,-8.52,29.18,25.86,-26.26,1,1,1,1,0,-1.62,3.0,62.51,2090.77,1988.18,0.964,0,0.411,0.541,1.055,0.607,-0.686,-1.326
2015-02-13,2096.99,14.69,73.0,8.51,19.95,-0.06,21.85,-8.73,-7.05,21.01,-8.52,29.18,25.86,1,1,1,0,0,-0.65,9.0,64.26,2097.09,1992.29,0.407,1,0.16,0.022,0.607,-1.232,0.12,-1.955
2015-02-17,2100.34,15.8,77.0,3.35,8.51,19.95,-0.06,21.85,-8.73,-7.05,21.01,-8.52,29.18,0,1,1,0,0,1.11,4.0,64.95,2105.05,1992.42,0.16,0,-0.031,0.475,0.722,-0.997,-0.528,-1.875
2015-02-18,2099.68,15.45,79.0,-0.66,3.35,8.51,19.95,-0.06,21.85,-8.73,-7.05,21.01,-8.52,0,1,1,0,0,-0.35,2.0,64.69,2111.7,1993.48,-0.031,1,-0.106,0.475,0.675,-2.643,0.401,-0.64
2015-02-19,2097.45,15.29,77.0,-2.23,-0.66,3.35,8.51,19.95,-0.06,21.85,-8.73,-7.05,21.01,1,1,1,0,0,-0.16,-2.0,63.74,2117.26,1994.46,-0.106,1,0.612,0.859,0.633,-2.725,0.332,-1.408
2015-02-20,2110.3,14.3,80.0,12.85,-2.23,-0.66,3.35,8.51,19.95,-0.06,21.85,-8.73,-7.05,0,1,0,0,0,-0.99,3.0,66.77,2124.02,1992.42,0.613,0,-0.031,0.17,-0.277,-2.114,-0.896,-2.413
2015-02-23,2109.66,14.56,77.0,-0.64,12.85,-2.23,-0.66,3.35,8.51,19.95,-0.06,21.85,-8.73,1,1,1,0,0,0.26,-3.0,66.47,2130.52,1991.7,-0.03,0,0.276,0.051,0.366,-2.666,-2.303,-2.023
2015-02-24,2115.48,13.69,75.0,5.82,-0.64,12.85,-2.23,-0.66,3.35,8.51,19.95,-0.06,21.85,0,0,0,0,0,-0.87,-2.0,67.87,2137.32,1990.74,0.276,0,-0.077,-0.52,-0.365,-1.625,-2.812,-1.652
2015-02-25,2113.86,13.84,77.0,-1.62,5.82,-0.64,12.85,-2.23,-0.66,3.35,8.51,19.95,-0.06,0,1,0,0,0,0.15,2.0,67.03,2142.8,1993.68,-0.077,0,-0.147,0.167,-0.725,-1.871,-2.498,-1.774
2015-02-26,2110.74,13.91,78.0,-3.12,-1.62,5.82,-0.64,12.85,-2.23,-0.66,3.35,8.51,19.95,0,0,0,0,0,0.07,1.0,65.35,2143.88,2003.47,-0.148,0,-0.295,-0.14,-0.459,-0.532,-1.159,-1.364
2015-02-27,2104.5,13.34,74.0,-6.24,-3.12,-1.62,5.82,-0.64,12.85,-2.23,-0.66,3.35,8.51,1,0,0,0,0,-0.57,-4.0,62.01,2144.92,2010.75,-0.296,0,0.611,-0.283,-1.575,-0.722,-1.734,-0.631
2015-03-02,2117.39,13.04,74.0,12.89,-6.24,-3.12,-1.62,5.82,-0.64,12.85,-2.23,-0.66,3.35,0,0,0,0,0,-0.3,0.0,65.89,2141.32,2026.59,0.612,0,-0.457,-0.777,-1.804,-0.441,-2.742,-0.728
2015-03-03,2107.78,13.86,66.0,-9.61,12.89,-6.24,-3.12,-1.62,5.82,-0.64,12.85,-2.23,-0.66,0,0,0,0,0,0.82,-8.0,60.89,2138.62,2037.98,-0.454,0,-0.437,-1.725,-3.005,-0.159,-1.928,-0.725
2015-03-04,2098.53,14.23,66.0,-9.25,-9.61,12.89,-6.24,-3.12,-1.62,5.82,-0.64,12.85,-2.23,1,0,0,0,0,0.37,0.0,56.45,2138.02,2043.43,-0.439,0,0.119,-0.906,-2.765,-0.334,-0.85,-0.128
2015-03-05,2101.04,14.04,65.0,2.51,-9.25,-9.61,12.89,-6.24,-3.12,-1.62,5.82,-0.64,12.85,0,0,0,0,1,-0.19,-1.0,57.36,2135.39,2052.01,0.12,0,-1.419,-2.71,-1.672,-1.906,-1.177,0.266
2015-03-06,2071.26,15.2,58.0,-29.78,2.51,-9.25,-9.61,12.89,-6.24,-3.12,-1.62,5.82,-0.64,1,0,0,0,1,1.16,-7.0,45.29,2134.68,2053.6,-1.417,1,0.389,-1.476,-0.85,-0.719,0.506,1.605
